target_index,language,category,priority,target_author,target_work,query_alias,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state,audit_state,audit_flags,final_decision,final_reason
41,LA,HISTORY,1,Jules César,De Bello Gallico,Julius Caesar,STRICT,/works/OL6286792W,Caesars Commentarii de bello Gallico,Heinz Haffter | Roger Clifford Carrington | Lambert Sauveur | Gaius Julius Caesar | Eberhard C. Kennedy | Iuli C. Caesaris | Otfried Schambach | Heinrich Harke | Ighaz Prammer | Julius Caesar | William Francis Allen | Joseph Henry Allen | Elmar. Siebenborn | Jérémie Jacques Oberlin | Frans Van Oudendorp | Hans-Joachim Glücklich | VV. AA. | Ignaz Prammer | Julius Ceasar | Jean-Francois Mondon | Caius Caesar | W. MacDevitt | Thomas de Quincey | Gaius Caesar | Anton Baumstark | Caius Julius Caesar | Caius Julius Caius Julius Caesar | Gaius Iulius Gaius Iulius Caesar | Aulus Aulus Hirtius | St. George William Joseph Stock | Radcliffe College. Library | Otto Seel | Filippo da Lavagna | Henry Norris | Charles Thomas-Stanford | Boies Penrose | Aulus Hirtius | Robert Gaguin | Antoine Verard | Charles Fairfax Murray | j.l. whiteley | Michael Gitlbauer | Jens Schneider | Carl Ernst Christoph Schneider | Frederick Percival Leverett | N. L. Achaintre | N. E. Lemaire | George Stuart | Girolamo Bologni | Raimundus Marlianus | Theodorus de Ragazonibus | Michael Sabinus | Samuel Jacobi | Schmid | Richard Ashhurst Bowie | A. C. Liddell | John Bond | A. S. Walpole | Friedrich Kraner | Wilhelm Dittenberger | Justin Bellanger | L. Constans | L. Denis | Frans van Oudendorp | John Mair | James Ross | George Long,/books/OL24396658M,De bello Gallico,,lat | eng,,University Press,1901,,6651402,1.0,1.0,0.95,VALID_COVER,307,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-41-OL24396658M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
42,LA,HISTORY,1,Jules César,De Bello Civili,Gaius Julius Caesar,STRICT,/works/OL10307104W,De bello civili,Gaius Julius Caesar,/books/OL23293165M,De bello civili commentariorum I,,lat | eng,,Macmillan,1891,,6483137,0.95,1.0,0.9239999999999999,VALID_COVER,294,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-42-OL23293165M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
43,LA,LATE_MEDIEVAL_RENAISSANCE,2,Thomas d'Aquin,Summa Theologiae,Thomas Aquinas,STRICT,/works/OL15314568W,Summa Theologica,"Thomas Aquinas | Kennedy, Daniel Joseph, 1862-1930",/books/OL15031111M,Summa theologiae,,mul | eng | lat,0413356108,Blackfriars in conjunction with Eyre & Spottiswoode,1980,,9320028,1.0,1.0,0.98,VALID_COVER,298,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-43-OL15031111M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,"MULTILINGUAL:eng,mul | NO_PAGE_COUNT",ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
44,LA,LATE_MEDIEVAL_RENAISSANCE,2,Érasme,Moriae Encomium,Desiderius Erasmus,STRICT,/works/OL15925931W,"Moriae encomium, id est, Stulticiae laudatio, ludicra declamatione tractata",Desiderius Erasmus,/books/OL24832130M,"Moriae encomium, id est, Stulticiae laudatio, ludicra declamatione tractata",,lat | grc,,Apud Hieronymum Frobenium et Nicolaum Episcopium,1540,,6855126,0.95,1.0,0.9239999999999999,VALID_COVER,353,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-44-OL24832130M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:grc | NO_ISBN | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
45,LA,LATE_MEDIEVAL_RENAISSANCE,2,Pétrarque,Secretum,,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,NO_CANDIDATE,NO_USABLE_CANDIDATE,REJECT,Aucun candidat exploitable n'a été trouvé avec langue latine explicite et cover valide ; la cible reste à acquérir.
46,LA,LATE_MEDIEVAL_RENAISSANCE,2,Pic de la Mirandole,Oratio de Hominis Dignitate,,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,NO_CANDIDATE,NO_USABLE_CANDIDATE,REJECT,Aucun candidat exploitable n'a été trouvé avec langue latine explicite et cover valide ; la cible reste à acquérir.
47,LA,LATE_MEDIEVAL_RENAISSANCE,2,Bède le Vénérable,Historia Ecclesiastica Gentis Anglorum,,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE,NO_CANDIDATE,NO_USABLE_CANDIDATE,REJECT,Aucun candidat exploitable n'a été trouvé avec langue latine explicite et cover valide ; la cible reste à acquérir.
48,LA,SCIENCE_CIVILISATION,2,Vitruve,De Architectura,Vitruvius,STRICT,/works/OL21477895W,Vitruvii de Architectura Libri Decem,Vitruvius Pollio | Fritz Krohn,/books/OL29099189M,Vitruvii de Architectura Libri Decem,,lat,9783110984224,"De Gruyter, Inc.",1912,,11937392,0.95,0.95,0.9415,VALID_COVER,320,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-48-OL29099189M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,NO_PAGE_COUNT,ACCEPT,Édition latine exploitable et correspondance œuvre/auteur suffisamment forte ; cover validée. Pagination à enrichir ultérieurement si récupérable.
49,LA,SCIENCE_CIVILISATION,2,Nicolas Copernic,De Revolutionibus Orbium Coelestium,Nicolaus Copernicus,STRICT,/works/OL1429609W,De revolutionibus orbium coelestium,Nicolaus Copernicus,/books/OL9690465M,De Revolutionibus Orbium Coelestium,,lat | eng,9781891788147,Octavo,"March 15, 1999",,2095715,1.0,1.0,0.98,VALID_COVER,475,464,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-49-OL9690465M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
50,LA,SCIENCE_CIVILISATION,2,Isaac Newton,Philosophiae Naturalis Principia Mathematica,Isaac Newton,STRICT,/works/OL104736W,Philosophiae naturalis principia mathematica,Sir Isaac Newton,/books/OL5215953M,Philosophiae naturalis principia mathematica.,,lat | eng,0674664752,Harvard University Press,1972,,5813766,1.0,0.95,0.9675,VALID_COVER,294,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-50-OL5215953M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND,CANDIDATE,MULTILINGUAL:eng | NO_PAGE_COUNT,ACCEPT_BILINGUAL,Édition bilingue/multilingue acceptable : le latin est explicitement présent et l'édition satisfait la cible éditoriale. Cover validée ; pagination à enrichir.
